group,section,URL
control60,aligned,https://osf.io/f2tr9/download
control60,localization-reaches,https://osf.io/xzcq7/download
control60,rotated,https://osf.io/w3h2p/download
control,aligned,https://osf.io/2n8jy/download
control,localization-reaches,https://osf.io/rbqkf/download
control,rotated,https://osf.io/j6m2q/download
cursorjump,aligned,https://osf.io/d4nty/download
cursorjump,localization-reaches,https://osf.io/ehmxu/download
cursorjump,rotated,https://osf.io/kdrpn/download
EDS,aligned,https://osf.io/94xck/download
EDS,localization-reaches,https://osf.io/cxtu2/download
EDS,rotated,https://osf.io/5wu8b/download
EDSmatch,aligned,https://osf.io/zt4v2/download
EDSmatch,localization-reaches,https://osf.io/gzwte/download
EDSmatch,rotated,https://osf.io/ya4t6/download
handview,aligned,https://osf.io/xgk2p/download
handview,localization-reaches,https://osf.io/sym37/download
handview,rotated,https://osf.io/nfz7q/download
instructed60,aligned,https://osf.io/2c54e/download
instructed60,localization-reaches,https://osf.io/bd5k7/download
instructed60,rotated,https://osf.io/wz3bg/download
instructed,aligned,https://osf.io/43hp7/download
instructed,localization-reaches,https://osf.io/mnzva/download
instructed,rotated,https://osf.io/5znwq/download
older_control,aligned,https://osf.io/8ut7y/download
older_control,localization-reaches,https://osf.io/5zvpt/download
older_control,rotated,https://osf.io/y98af/download
older_instructed,aligned,https://osf.io/jx5ar/download
older_instructed,localization-reaches,https://osf.io/fskhg/download
older_instructed,rotated,https://osf.io/ytdg8/download
org_control60,aligned,https://osf.io/5qeyv/download
org_control60,localization-reaches,https://osf.io/fg93u/download
org_control,aligned,https://osf.io/scb42/download
org_control,localization-reaches,https://osf.io/w4kgr/download
org_instructed60,aligned,https://osf.io/8d3xv/download
org_instructed60,localization-reaches,https://osf.io/3hva2/download
org_instructed,aligned,https://osf.io/yvum7/download
org_instructed,localization-reaches,https://osf.io/6kchp/download
